legal_name,dba_name,primary_sector,all_sectors,operational_states,founded_year,employee_count,estimated_revenue,contact_person,job_title,email,phone,address,city,state,zip_code
Kramer-Roberts,Kramer-Roberts,Technology,"Technology, Telecommunications",PA,2018,25,"$230,820",John Watson,Further education lecturer,jwatson@foley.com,(263) 248-5640,3003 Rachel Pike,Fischerview,RI,52802
Bennett-Lee,"Group Reyes, Cruz and White",Technology,Technology,VA,2004,70,"$4,197,023",Lynn Hendrix,Soil scientist,lhendrix@miller.com,(408) 890-3225,99512 Mitchell Pines,South Angela,PA,09028
"Collier, Anderson and Ramsey",Group Garcia Ltd,Technology,"Technology, Telecommunications, Pharmaceuticals",KS,2004,64,"$222,241",Pamela Ashley,Purchasing manager,pashley@sanchez.com,(521) 281-9013,2441 Hernandez Stravenue,Hunterfurt,CA,27537
Bailey Inc,Bailey Inc,Technology,"Technology, Finance, Telecommunications","AL, RI",2009,589,"$72,483",Curtis King,Television floor manager,cking@miller.net,(360) 264-5012,78264 Gilbert Mill Suite 862,New Heather,DE,16666
"Cunningham, Lam and Lozano","Cunningham, Lam and Lozano",Technology,"Technology, Education, Energy","OR, AZ, CA",1987,6,"$97,148",Samuel Rich,Neurosurgeon,srich@cole.com,(740) 318-7492,171 Carmen Roads Suite 568,Gomezview,AR,89892
"Mueller, Walsh and Davis",LLC Cantrell-Savage,Technology,Technology,"MS, NM, MN, NV, FL",1980,7,"$21,004",Dr. Paige Porter,Fashion designer,dporter@morton.com,(498) 828-6477,9781 Palmer Track,South Andrea,SC,86375
"Wade, Meyers and Mahoney","Inc Morales, Hendrix and Hernandez",Technology,"Technology, Finance","NC, VT",1984,513,"$9,625,359",William Chung,Artist,wchung@lloyd.net,(325) 795-8209,45587 Frank Turnpike,West Dannyfurt,ND,73902
"Davis, Palmer and Flores","Davis, Palmer and Flores",Technology,"Technology, Healthcare","UT, PA",2019,5,"$859,894,737",Philip Mills,Warehouse manager,pmills@thomas.com,(998) 858-8726,42310 Thompson Manors Suite 492,West Alexmouth,KS,99927
Andrews Ltd,Ltd Austin Group,Technology,"Technology, Pharmaceuticals, Hospitality","WV, NH, IN",2000,3849,"$1,807,071",Tyler Berg,Child psychotherapist,tberg@hooper.com,(855) 589-9263,3115 David Junction Apt. 836,East Nicholasland,TN,11585
"Gardner, Foster and Perez","Gardner, Foster and Perez",Technology,"Technology, Education","OH, LA, FL",2005,97,"$34,711",Desiree Vega,Publishing copy,dvega@smith.biz,(689) 359-5839,967 Ashley Shoal,South Janiceberg,IN,27651
Vasquez-Whitehead,Vasquez-Whitehead,Technology,"Technology, Construction, Manufacturing",MO,1990,33,"$461,831,756",Kayla Stewart,Veterinary surgeon,kstewart@adams.com,(681) 667-8736,849 Harper Expressway,Bryanthaven,WY,29525
Ayala-Nguyen,Inc Jimenez-Allen,Technology,Technology,"WY, GA, MT, LA, KY",1981,3,"$429,669",Robert Lee,Lawyer,rlee@shelton-williamson.info,(204) 903-6836,29327 Fisher Pass Suite 151,Hensonville,NE,46689
Jones Inc,"and Sons Wright, Chapman and Patterson",Technology,"Technology, Real Estate, Hospitality","MT, WY, IN, WA, SD",2013,40,"$360,290",Larry Edwards,"Engineer, automotive",ledwards@whitney-wu.com,(931) 758-8128,1693 Richard Village,Lake Susanchester,IL,42280
Woodard Group,Woodard Group,Technology,Technology,"WA, NH, IN",2017,37,"$1,011,907",David Hayes,Interior and spatial designer,dhayes@jacobson.com,(762) 921-9855,3015 Turner Manors,East Rhonda,AR,55520
Frey Group,Frey Group,Technology,Technology,"ND, SC, NM, ID, GA",1999,3222,"$947,009",Michael Parker,"Engineer, land",mparker@daniels.net,(597) 990-8556,340 Wilson Tunnel,Alyssatown,CT,19836
Norris and Sons,Norris and Sons,Technology,Technology,"TN, DE",1999,33,"$51,800",Samantha Williams,Human resources officer,swilliams@garcia-richards.net,(850) 516-1107,79431 Lisa Squares,Jamesshire,IN,08698
Gutierrez-Glenn,LLC Gonzalez Group,Technology,Technology,"SD, IA, MI",1997,184,"$182,350",Kathryn Atkins,Medical technical officer,katkins@taylor.com,(276) 792-9101,4826 Gibson Hollow,Josephfort,VT,70744
Castro Inc,Castro Inc,Technology,"Technology, Transportation","AK, GA, CA",2003,48,"$561,619",Charles Osborne,International aid/development worker,cosborne@sharp.com,(800) 632-2283,29275 Mary Ville,North Rodney,UT,84223
Webb Group,"Ltd Jimenez, Spencer and Sanchez",Technology,"Technology, Telecommunications",WY,2002,3,"$76,271",Vanessa Stewart,Planning and development surveyor,vstewart@tucker.com,(907) 707-9555,719 Gregory Crest,Baileyfort,MT,40198
"Cummings, Ferguson and Robinson","Cummings, Ferguson and Robinson",Technology,"Technology, Pharmaceuticals, Construction","OH, VT",2013,15,"$616,626,826",Jacob Ho,"Therapist, sports",jho@miller.com,(329) 896-1527,817 Price Wells Suite 909,Port Tammyland,CA,62106
"Aguirre, Kelley and Campbell","Aguirre, Kelley and Campbell",Technology,"Technology, Transportation, Education","HI, WY, KS",2020,25,"$75,896",Stephen Scott,Artist,sscott@miller-torres.com,(460) 940-5048,363 Kramer Haven,West David,MN,98372
"Doyle, Leonard and Lin","Doyle, Leonard and Lin",Technology,Technology,"VA, NH, ME",2009,109,"$80,926",Yolanda Jensen,"Geologist, engineering",yjensen@white-huang.com,(253) 474-7095,302 Joseph Lodge Apt. 030,Dayborough,AK,14236
"Hart, Barry and Marquez",Inc Williams and Sons,Technology,"Technology, Energy",NM,1993,9,"$959,069",Michele Alexander,Museum/gallery curator,malexander@johnson-lucas.info,(377) 589-2348,0080 Felicia Harbors Apt. 410,Banksburgh,PA,16915
Cox Ltd,Cox Ltd,Technology,"Technology, Finance","CT, NH",2002,4,"$349,276",Ronald Fields,"Lighting technician, broadcasting/film/video",rfields@mccormick-weaver.com,(652) 557-9512,923 Alejandro View Apt. 738,Port Scott,HI,24728
Shaffer PLC,Shaffer PLC,Technology,"Technology, Retail","NV, KS",1987,8909,"$209,345",Dan Hawkins,Warehouse manager,dhawkins@rocha.com,(424) 326-4285,123 Steven Village,Hicksfurt,NM,14389
"Bennett, Jackson and Davis","Bennett, Jackson and Davis",Technology,Technology,"VT, DE, IL",2009,4,"$31,102",Savannah Gibson,Geophysicist/field seismologist,sgibson@smith.info,(749) 595-8507,2046 Richard Mission,East Patriciaberg,VT,02561
"Acevedo, Davis and English","Acevedo, Davis and English",Technology,"Technology, Education","AL, SC, WV, IL, OR",2019,4363,"$342,099",Wendy Kent,Dance movement psychotherapist,wkent@wright.com,(888) 569-8673,3644 Salazar Summit,Marieberg,OR,83821
Strong Ltd,PLC Nelson-Morgan,Technology,"Technology, Entertainment, Finance","MD, VA, AZ",2017,176,"$1,997,594",Shane Farmer,"Engineer, manufacturing",sfarmer@alvarez.com,(522) 251-5318,2122 Beth Roads,New Georgeport,DE,35270
Martin Inc,Martin Inc,Technology,"Technology, Real Estate","HI, MO, UT, VA",1991,951,"$2,498,798",Kent Perkins,"Conservation officer, nature",kperkins@austin.com,(811) 298-4177,760 Roberts Grove,Whiteheadmouth,SD,24184
Christian LLC,Group Schultz-Woodard,Technology,"Technology, Hospitality","CO, LA, TX",1981,31,"$113,319",John Peterson MD,Clinical molecular geneticist,jmd@long.com,(858) 961-2872,902 Martin Rue,Jenniferhaven,CO,65208
Zavala-White,PLC Griffin-Bridges,Technology,"Technology, Construction",NM,1990,41,"$12,298",Shannon Austin,Adult nurse,saustin@cox-lee.com,(397) 763-2723,1999 Theresa Isle Suite 091,Dianaton,ME,27222
Scott-Pierce,Scott-Pierce,Technology,"Technology, Transportation, Manufacturing","OH, AR",2015,14,"$57,555",Brandon Coleman,Teaching laboratory technician,bcoleman@hayes.org,(885) 759-9811,620 Justin Rest,Nguyenstad,MD,69799
Duncan-Clark,Duncan-Clark,Technology,"Technology, Finance","WY, UT, FL, AR",1989,12,"$59,229",Kyle Duncan,Product manager,kduncan@lopez.com,(324) 262-9063,2774 Jackson Parks,Port Sarah,AR,69556
Myers PLC,LLC Johnson Ltd,Technology,Technology,"DE, WV",1997,10,"$30,836",Jill Harris,Multimedia programmer,jharris@young-nelson.com,(590) 705-7373,98605 Melissa Spring,Lake Drewstad,LA,26415
"Bond, Rice and Haney","Bond, Rice and Haney",Technology,"Technology, Retail, Education","TX, NM",2009,1553,"$798,239",Jennifer Tran,Health and safety inspector,jtran@patton.com,(339) 380-5249,495 Ricky Crescent,Port William,ME,75299
"Bryan, Woodward and Miles","Bryan, Woodward and Miles",Technology,"Technology, Healthcare","AL, GA, WI",2008,418,"$59,212",Jodi Vang,Pensions consultant,jvang@brandt.com,(614) 200-1647,249 Alex Crest,New Sergio,RI,59470
"Pennington, Robinson and Collins","Pennington, Robinson and Collins",Technology,Technology,"WV, OR, OH, MN, AK",1983,532,"$5,387,789",Alexander Hall,Network engineer,ahall@hubbard.com,(447) 355-1309,51526 Amanda Plain Suite 503,South Victoria,TX,08678
Wheeler-Marquez,"and Sons Roberts, Diaz and Black",Technology,"Technology, Pharmaceuticals","ID, NE, CT",1988,200,"$274,953",Henry Bailey,Health and safety adviser,hbailey@jackson-cross.com,(527) 775-1298,9244 Contreras Villages Apt. 625,East Jonathan,DE,51768
Alexander-Reyes,Alexander-Reyes,Technology,"Technology, Manufacturing",AL,1982,7,"$238,315",Jake Rice MD,Holiday representative,jmd@orozco-hernandez.biz,(375) 989-4169,93061 Blake Passage,Lake Jack,HI,25354
Patterson LLC,Patterson LLC,Technology,"Technology, Education","MT, TX, MD",1982,66,"$1,110,683",Meredith Harris,Race relations officer,mharris@garcia.com,(423) 747-4966,91972 Carroll Inlet Suite 994,Briannaburgh,NC,23527
Ortiz-Short,Ortiz-Short,Technology,Technology,"KS, PA, VT",1998,26,"$303,434",Ashley Wolf,Patent examiner,awolf@brown.com,(614) 246-4625,5759 Kaufman Vista Apt. 621,Dakotafort,NY,38575
"James, Gill and Johnson","James, Gill and Johnson",Technology,"Technology, Energy","MT, MO, IN, MI",1991,12,"$21,975",Gary Bell,Clinical biochemist,gbell@hogan-davis.com,(534) 303-4203,88392 Laurie Mall,Rayburgh,WY,60161
Butler Group,Butler Group,Technology,"Technology, Finance, Healthcare",NV,2015,90,"$33,985",Christy Bryant,Mental health nurse,cbryant@weiss.net,(690) 786-9723,118 Valencia Wells,Kathyburgh,NV,77201
Owens Ltd,PLC Ray and Sons,Technology,"Technology, Healthcare","KY, UT",1990,32,"$8,519,216",Belinda Spencer,"Engineer, communications",bspencer@edwards.com,(630) 209-4693,1748 Cruz Cliffs Apt. 031,New Carolinemouth,OK,06977
"Taylor, Lee and May","Taylor, Lee and May",Technology,Technology,"KY, MN, ID, CT, MI",1984,2,"$132,255",William Arias,Bookseller,warias@davis.com,(945) 259-7771,25876 Clark Shore,Sherryberg,NV,07623
Patterson PLC,Patterson PLC,Technology,"Technology, Transportation","HI, OH, MD, FL",2008,4,"$157,064",Sheryl Allen,Marine scientist,sallen@adams.com,(553) 898-7567,9871 Briana Mills Suite 303,Burchfurt,FL,56928
"May, Wells and Roach","May, Wells and Roach",Technology,"Technology, Education, Construction","HI, MA, MS, IA",2007,7952,"$492,423",David Edwards,Prison officer,dedwards@allen.com,(346) 597-1839,17485 Bowen Ramp Suite 793,North Kayla,UT,47669
Johnson Inc,Johnson Inc,Technology,"Technology, Hospitality, Agriculture","NC, UT, VA, IL",2006,9,"$1,920,974",Jeremiah Hughes,"Conservator, museum/gallery",jhughes@herman.com,(327) 895-1355,38155 Jeffrey Lodge Apt. 661,New Adammouth,DE,89012
Waters-Lindsey,PLC Smith-Stone,Technology,Technology,"FL, MA",2020,9,"$488,379",Nina Cross,Corporate treasurer,ncross@davis.com,(844) 747-5207,03589 Gilmore Meadow Suite 767,East David,SD,66595
Washington-Figueroa,Washington-Figueroa,Technology,"Technology, Retail","MT, RI, SC, UT, ND",1984,29,"$5,860,254",Jonathan Lopez,"Administrator, education",jlopez@manning-harrison.com,(868) 207-8590,18484 Ayers Wells Suite 318,New Marybury,MN,46997
Mccarty-Whitney,Mccarty-Whitney,Technology,"Technology, Manufacturing","DE, WV",2020,963,"$30,686",Mary Valdez,Engineering geologist,mvaldez@brown.net,(774) 453-8394,52964 Waters Ville Apt. 503,South Ericstad,MN,12990
Marshall and Sons,Marshall and Sons,Technology,Technology,"WI, OR, MS",1999,5,"$16,820",Kristi Wilkinson,Secretary/administrator,kwilkinson@brewer-thompson.biz,(663) 716-3963,10572 Taylor Square,Greenside,MO,02410
Boone Group,Group Walker-Wilson,Technology,"Technology, Retail, Finance","SC, RI, IN, AR",1989,36,"$480,423",Brian Carey,"Editor, commissioning",bcarey@strickland.info,(567) 433-8945,4365 Jacob Mission Suite 302,Schultzberg,RI,92952
Santos and Sons,PLC Williams PLC,Technology,Technology,"GA, VA",1986,10,"$318,083",Aaron Robertson,Travel agency manager,arobertson@hernandez-schmidt.biz,(281) 831-6727,612 Sean Plaza Suite 234,Austinhaven,OK,63253
Thompson-Rich,and Sons Decker-Proctor,Technology,Technology,"RI, GA, KY",2015,40,"$315,220",Joseph Hoffman,Animal technologist,jhoffman@horton-carrillo.info,(446) 850-7897,64239 Mary Passage,West Jennifer,ME,45322
"Moore, Palmer and Benson","Ltd Hernandez, Hoover and Mckinney",Technology,"Technology, Transportation, Entertainment",UT,1980,3237,"$123,017",Alan Wilson,Dramatherapist,awilson@bailey.net,(612) 958-4805,46269 John Street Apt. 703,South Lynnborough,MO,78764
Wilson Ltd,Wilson Ltd,Technology,"Technology, Agriculture, Transportation","WV, CO, NC, GA",2002,11,"$275,288",Heather Henson,Medical secretary,hhenson@kelley.info,(479) 451-2755,475 Angela Fall Apt. 370,Allenborough,CO,16166
"Burke, Diaz and Scott","Burke, Diaz and Scott",Technology,Technology,"VA, ND, TN",1982,5,"$98,025",David Diaz,Energy engineer,ddiaz@evans-harding.com,(879) 444-7963,93234 Pamela Curve,Stevensshire,NY,62294
Elliott LLC,Elliott LLC,Technology,Technology,"OH, NC, TN, RI, OK",1997,138,"$1,598,701",Charles Webb,"Psychologist, forensic",cwebb@garrison.info,(384) 456-5769,74472 Clay Estates,Ronaldborough,VT,57473
Matthews-Duncan,Matthews-Duncan,Technology,"Technology, Entertainment, Hospitality","NM, ID, UT",2018,352,"$47,775",Katie Lee,"Lecturer, higher education",klee@forbes-nelson.com,(634) 439-1665,84124 Brown Station Suite 238,New Williammouth,IN,15031
Lawrence-Moore,Lawrence-Moore,Technology,"Technology, Transportation",AL,2013,4734,"$1,204,999",Jessica Newton,"Research officer, trade union",jnewton@martinez.biz,(301) 688-9629,8376 Ryan Lake Apt. 385,New Nicole,IN,80222
Poole-Lambert,Poole-Lambert,Technology,"Technology, Retail, Finance","NH, MD, CO",2023,10,"$89,169",Matthew Black,Engineering geologist,mblack@smith-flores.com,(398) 699-7485,7248 Mckenzie Creek Apt. 214,Andersonborough,CO,46273
Myers Inc,Myers Inc,Technology,"Technology, Education, Manufacturing","IL, LA",1986,184,"$155,106",Adam Nixon,"Horticulturist, amenity",anixon@griffin-hill.biz,(994) 616-5528,18060 Rodriguez Station,Annabury,NV,25456
"Blackwell, Smith and Byrd",Inc Cross-Phelps,Technology,"Technology, Manufacturing, Agriculture","SD, MS",1998,2,"$74,234",Lisa Johnson,"Designer, industrial/product",ljohnson@mahoney.com,(233) 206-7096,4327 Herrera Islands Suite 849,Port Michelle,NJ,22280
Murillo Ltd,Murillo Ltd,Technology,"Technology, Entertainment, Healthcare","OK, MI, WI, KY",1988,31,"$130,078",Michael Miller,Community pharmacist,mmiller@johnson-lucero.net,(291) 720-4855,638 Hale Fort Suite 304,Kathrynton,WI,55867
Morales LLC,Morales LLC,Technology,"Technology, Pharmaceuticals","HI, AL, MO, UT",2003,8,"$1,876,405",Craig Cantrell,Ship broker,ccantrell@thornton-gonzalez.biz,(306) 380-2085,122 Jessica Squares,East James,AR,33671
Young Group,Young Group,Technology,"Technology, Finance","OH, NH, AK",1993,6703,"$1,094,667",Kirk Torres,Metallurgist,ktorres@davenport-mckenzie.org,(639) 785-2725,93839 Kaiser Greens,Davidfurt,MO,19582
Robinson Inc,Robinson Inc,Technology,"Technology, Healthcare, Real Estate","VA, GA, AK, MT",1991,7,"$1,576,208",Andrea Spears,Water engineer,aspears@jordan.com,(596) 708-8916,42202 Kathryn Overpass Suite 279,Kiddbury,KS,84134
Love-Clark,Love-Clark,Technology,"Technology, Healthcare, Retail","CA, RI",1984,2,"$539,929",Kimberly Simmons,Dramatherapist,ksimmons@hernandez.net,(570) 777-3859,8479 Oliver Knolls Apt. 569,Port Raymondtown,TX,66408
Jones-Anderson,Jones-Anderson,Technology,Technology,"MS, ND, AR, IN",1982,4861,"$6,090,227",Lisa Jackson,Drilling engineer,ljackson@oneal.org,(992) 638-4495,8293 Rebecca Ways,Lake Leslie,KS,04370
Smith Inc,Smith Inc,Technology,Technology,"NY, OH, MO",1987,73,"$526,926",Anita Herring,Sales executive,aherring@cox-hughes.info,(854) 581-8079,282 Christian Prairie Apt. 636,South Charlesport,OK,18742
Hinton-Townsend,Hinton-Townsend,Technology,"Technology, Education","NY, MS, VA",1998,10,"$541,727",Ronald Young,Records manager,ryoung@kelly-crane.org,(596) 331-5167,426 Margaret Squares,Port Adambury,AR,75885
"Jacobs, Brown and French","Jacobs, Brown and French",Technology,"Technology, Telecommunications","MO, ND, GA, NJ, CA",1999,11,"$613,416,771",Selena Moss DVM,"Lecturer, higher education",sdvm@garcia-stewart.com,(354) 769-7336,50096 Natasha Mountain,Rodgersmouth,SC,42692
"Collins, Rosales and Potter","Collins, Rosales and Potter",Technology,Technology,"FL, WY",2009,4423,"$1,676,574",Deborah Williams,"Programmer, applications",dwilliams@gonzalez.biz,(346) 754-8792,2598 Wayne Stravenue,Brendaland,VA,60865
Wise-Carson,Wise-Carson,Technology,Technology,"NV, PA, LA, CO, MN",1981,1,"$335,502",Joel Welch,"Designer, multimedia",jwelch@vasquez.com,(728) 899-2206,810 Derrick Cape Apt. 930,Gregorytown,KS,93047
Prince LLC,Prince LLC,Technology,Technology,"ME, AR, RI",2012,7961,"$260,719",Michael Gardner,Special educational needs teacher,mgardner@sloan.com,(386) 808-1486,586 Daniel Estates,Wisehaven,WI,80296
Douglas-Benjamin,Douglas-Benjamin,Technology,"Technology, Retail, Agriculture",FL,2013,15,"$4,116,775",Mark Kidd,"Accountant, chartered management",mkidd@lewis.net,(917) 826-7303,430 Julie Land,Christopherberg,OH,83275
Lopez-Meyer,Lopez-Meyer,Technology,"Technology, Telecommunications","AK, OK, AR",2004,59,"$3,603,095",Krista Taylor,Charity officer,ktaylor@sampson-evans.com,(666) 224-6887,95690 Elizabeth Summit Suite 148,South Adrianchester,NJ,18429
"Cunningham, Ward and Williams",Inc Neal-Brown,Technology,"Technology, Pharmaceuticals, Retail","OK, CA",2019,787,"$264,833",Margaret Love,Trading standards officer,mlove@lester-evans.com,(609) 636-4242,155 Kevin Canyon,New Sara,OH,70349
Harris Ltd,"Group Fisher, Sellers and Hart",Technology,"Technology, Agriculture, Entertainment","CT, NE, OK",1993,216,"$168,910",Charles Hernandez,"Solicitor, Scotland",chernandez@hurley-jackson.biz,(644) 614-3328,5355 Adam Station Apt. 861,Daniellestad,MI,31296
Duke-Gomez,"PLC Peterson, Kim and Potter",Technology,"Technology, Retail",MA,2018,248,"$1,063,597",Kelli Martinez,Sport and exercise psychologist,kmartinez@dillon.com,(830) 799-6065,526 Jessica Ports Suite 752,Robertfurt,AR,84201
Golden-Nguyen,Golden-Nguyen,Technology,Technology,"ND, PA, MN, AR, CT",2010,34,"$406,810",Alejandra Young,"Surveyor, building control",ayoung@schaefer-simpson.com,(435) 374-4026,444 Tamara Inlet Apt. 534,South Dannyfurt,IL,79046
Wright PLC,Wright PLC,Technology,"Technology, Telecommunications, Real Estate","VA, SC, VT, IL",1985,82,"$1,030,149",Debra Porter,"Engineer, maintenance (IT)",dporter@williams.info,(525) 920-5459,66829 Michelle Fords Suite 623,Lake Zacharyhaven,MO,83919
"Rivas, Newman and Davis",LLC Black PLC,Technology,Technology,"OK, PA, RI, NY",2004,963,"$981,388",Albert Jennings,Financial risk analyst,ajennings@travis-robinson.info,(475) 379-9417,22771 Thomas Cove,North Steven,AK,33543
"Jones, Haley and Howell","Jones, Haley and Howell",Technology,"Technology, Transportation, Finance",OH,2008,8950,"$366,647",Samantha Diaz,"Therapist, music",sdiaz@ball.net,(502) 995-5614,8764 Wallace Parkways,Colleenfurt,ME,96009
"Lyons, Smith and Chen","Lyons, Smith and Chen",Technology,"Technology, Pharmaceuticals","NJ, NM, MA",2016,1,"$996,250",Karen Perry,Sports therapist,kperry@hill.com,(262) 270-7932,4104 Jasmine Ports Suite 021,Lisafort,KY,48597
"Harris, Weaver and Santana",Ltd Miller-Johnson,Technology,"Technology, Real Estate, Telecommunications",ND,1993,8,"$445,211",Jordan Salazar,Quantity surveyor,jsalazar@ward.com,(227) 588-7625,961 Simpson Burgs Apt. 397,Michaelborough,AK,84148
"Johnson, Hopkins and Erickson",PLC Brown LLC,Technology,Technology,PA,2009,41,"$463,580",Joseph Hines,Firefighter,jhines@wright.info,(578) 375-6976,28703 Hancock Knoll,Turnermouth,ND,66141
Robinson Group,Robinson Group,Technology,"Technology, Transportation",VA,2019,175,"$1,715,516",Sandra Phillips,Corporate investment banker,sphillips@clark.com,(752) 930-4712,5123 Lawrence Land,Lake Mark,RI,76602
"Khan, Reynolds and Martin",Inc Hughes Group,Technology,"Technology, Energy, Retail","IA, MS, TN, GA",1991,37,"$148,056",Patricia Williams,Clinical psychologist,pwilliams@fernandez-allen.net,(871) 641-1719,281 Wanda Tunnel,Riosberg,ND,37001
Henderson Group,Henderson Group,Technology,"Technology, Hospitality","WV, NH",1994,268,"$30,559",Elizabeth Hoover,Community arts worker,ehoover@benson.net,(710) 531-3009,611 Kristen Well,Morganland,MN,11522
Leach-Davis,Leach-Davis,Technology,Technology,"GA, NJ",1980,8,"$1,232,771",Roger Collier,Ship broker,rcollier@howell.com,(300) 778-7635,88243 Brian Mountains Apt. 050,West Robertchester,WA,91612
Baker-Waller,Baker-Waller,Technology,"Technology, Finance","MN, OK, LA, AZ, ID",2014,923,"$638,105",Katrina Sawyer,Corporate investment banker,ksawyer@butler.com,(833) 811-6481,62758 Bennett Motorway Apt. 354,Port Jonathan,MI,76562
"Nelson, Ryan and White",PLC Cooper-Garcia,Technology,"Technology, Hospitality","ME, AL, NE, RI, NM",2003,510,"$129,325",Darrell Welch,Market researcher,dwelch@chandler-reeves.com,(557) 877-2582,5397 Reyes Valley Apt. 560,Reyeschester,MA,06492
Black Ltd,Black Ltd,Technology,"Technology, Manufacturing, Education","KS, WV, NE, CO, RI",1999,170,"$196,177",Billy Gallegos,Chief Executive Officer,bgallegos@ayala.com,(239) 385-8642,901 Elizabeth Roads,North Katelyn,DE,76102
Johnson-Weaver,Johnson-Weaver,Technology,"Technology, Construction",CT,2014,6255,"$517,395",Monica Ross,Building control surveyor,mross@evans.com,(480) 606-2175,0820 Roman Flats Apt. 654,East Kristinborough,UT,28391
